zone,station_id,name,latitude,longitude,address,neighborhood,postal_code,capacity,bikes_available,bikes_unavailable,docks_available,docks_unavailable
Guadalajara,247,(GDL-179) C. Monte Cáucaso / C. Sierra Nevada,20.68795,-103.33343,(GDL-179) C. Monte Cáucaso / C. Sierra Nevada *,Independencia Oriente,44340,23,20,2,1,0
Guadalajara,248,(GDL-180) C. Montes Pirineos/Salvador Quevedo,20.68692,-103.33467,(GDL-180) C. Montes Pirineos / C. Salvador Quevedo*,Independencia Oriente,44340,11,11,0,0,0
Guadalajara,249,(GDL-181) C.Ignacio Rmrz / Av Plan de San Lui,20.69705,-103.36322,(GDL-181) C.Ignacio Ramírez / Av. Plan de San Luis*,San Bernardo,44260,15,14,1,0,0
Guadalajara,253,(GDL-156) C. Duque de Rivas/ C. López Cotilla,20.6731682,-103.3826893,(GDL-156) C. Duque de Rivas / C. López Cotilla *,Arcos Vallarta,44130,15,0,0,15,0
Guadalajara,254,(GDL-020) C. General Coronado / C.Juan Manuel,20.67848,-103.365103,(GDL-020) C. General Coronado / C. Juan Manuel,Guadalajara Centro,44100,15,3,1,11,0
Guadalajara,255,(GDL-182) C. General Coronado / C. Manuel Acu,20.6841645,-103.3648293,(GDL-182) C. General Coronado / C. Manuel Acuña*,Villaseñor,44600,15,9,0,6,0
Guadalajara,256,(GDL-183) Calz. Independencia / Av. Niños Hér,20.6639862,-103.3480775,(GDL-183) Calz. Independencia / Av. Niños Héroes*,Mexicaltzingo,44180,19,17,0,2,0
Guadalajara,257,(GDL-184) Ingreso Cucei / Revolución,20.6595903,-103.324471,(GDL-184) Ingreso Cucei / Revolución,El Periodista,44430,19,4,0,15,0
Guadalajara,258,(GDL-185) Dr. Silverio García /Av. Revolución,20.66318,-103.32942,(GDL-185) Dr. Silverio García /Av. Revolución,Revolución,44400,23,18,1,4,0
Guadalajara,259,(GDL-186) C. Argentina / C. Francia,20.66429,-103.3628,(GDL-186) C. Argentina / C. Francia,Moderna,44190,15,7,0,8,0
Guadalajara,260,(GDL-187) Av. 16 de Septiembre / C. Priscilia,20.67284,-103.34718,(GDL-187) Av. 16 de Septiembre / C. Prisciliano Sánchez,Guadalajara Centro,44100,15,6,0,9,0
Guadalajara,261,(GDL-188) Av. de la Presa / Av. Manuel A. Cam,20.70928,-103.37015,(GDL-188) Av. de la Presa / Av. Manuel A. Camacho,Jardines del Country,44210,15,12,1,2,0
Guadalajara,262,(GDL-189) C. 5 de Mayo/ Av. Revolución,20.6692,-103.34116,(GDL-189) C. 5 de Mayo/ Av. Revolución,Analco,44450,15,12,0,3,0
Guadalajara,263,(GDL-190) C. Anahuac / Av. Revolución,20.6708,-103.34385,(GDL-190) C. Anahuac / Av. Revolución,La Perla,44360,31,30,0,1,0
Guadalajara,264,(GDL-191) Plaza de los Mariachis,20.6744,-103.34123,(GDL-191) Plaza de los Mariachis,San Juan de Dios,44360,23,22,1,0,0
Guadalajara,265,(GDL-192) Calle A1 / Av. Manuel A. Camacho,20.70656,-103.36564,(GDL-192) Calle A1 / Av. Manuel A. Camacho,Jardines del Country,44210,15,9,0,6,0
Guadalajara,266,(GDL-193) C. Hawai / C. Nicolás Romero,20.70211,-103.35996,(GDL-193) C. Hawai / C. Nicolás Romero,Mezquitan,44260,15,7,1,7,0
Guadalajara,267,(GDL-194) Av. Revolución / C. Manuel López Ve,20.65048,-103.30999,(GDL-194) Av. Revolución / C. Manuel López Velarde*,Jardines de La Paz,44860,15,12,0,3,0
Guadalajara,268,(GDL-195) C. Ramón Corona / Av. Juárez,20.67529,-103.34656,(GDL-195) C. Ramón Corona / Av. Juárez,Guadalajara Centro,44100,23,2,1,20,0
Guadalajara,269,(GDL-196) C. Esmeralda / C. Manuel Acuña,20.68361,-103.33756,(GDL-196) C. Esmeralda / C. Manuel Acuña,El Retiro,44280,23,21,2,0,0
Guadalajara,270,(GDL-197) Av. Río Nilo / Av. Revolución,20.64517,-103.30313,(GDL-197) Av. Río Nilo / Av. Revolución*,Jardines de La Paz,44860,15,10,0,5,0
Guadalajara,271,(GDL-198) Av. Alcalde / C. Hospital,20.68504,-103.34796,(GDL-198) Av. Alcalde / C. Hospital,Guadalajara Centro,44100,31,28,2,1,0
Guadalajara,272,(GDL-199) C. Jesús García/Av. Alcalde,20.6891,-103.34806,(GDL-199) C. Jesús García/Av. Alcalde,Colinas de La Normal,44270,15,13,0,2,0
Guadalajara,274,(GDL-201) Av. de los Normalistas / C. M. Guti,20.69442,-103.34474,(GDL-201) Av. de los Normalistas / C. M. Gutiérrez Nájera,Miraflores,44270,15,11,1,3,0
Guadalajara,275,(GDL-202) C. Magisterio / C. Durango,20.69898,-103.34893,(GDL-202) C. Magisterio / C. Durango,Observatorio,44266,15,15,0,0,0
Guadalajara,276,(GDL-203) Av. Federalismo / C. Tamaulipas,20.70046,-103.35478,(GDL-203) Av. Federalismo / C. Tamaulipas,El Retiro,44280,23,23,0,0,0
Guadalajara,277,(GDL-204) C. España/ Av. Chapultepec,20.6651,-103.36807,(GDL-204) C. España/ Av. Chapultepec,Moderna,44190,23,0,0,23,0
Guadalajara,278,(GDL-205) Av. Agustín Yáñez /C. Venezuela,20.66265,-103.36554,(GDL-205) Av. Agustín Yáñez /C. Venezuela*,Moderna,44190,15,8,0,7,0
